id,aiPersonaServiceID,createdDate,updatedDate,version,description,authorizationId,interactionModes,dataAccessMode,bodyOfKnowledge
00937c9c-bccd-45ec-bbcc-380b6f32f71a,8fa3eb64-8398-475c-9c2e-eca0958e160b,"2024-08-13 14:25:33.765350","2024-08-13 14:25:33.765350",1,"AI Persona for virtual contributor test-1",887f47de-251b-415a-832f-a94daef2615b,discussion-tagging,space_profile_and_contents,
02b92f34-d955-4f14-b4c4-25ff520763e7,3e449a7f-2e8c-4cf9-871b-a5ce4d07e06e,"2024-08-12 14:13:53.790968","2024-08-12 14:13:53.790968",1,"AI Persona for virtual contributor test2",dd2b28a9-91a0-4470-b76f-8076709c56db,discussion-tagging,space_profile_and_contents,
03ceb88a-0763-4d26-849d-c29354316c16,9fd04f82-b9c1-4617-bbe6-8e0ee3d0654d,"2024-06-24 14:32:07.051190","2024-06-28 11:08:55.703512",1,,d231492d-e42c-4729-ba22-b2055dc143eb,[discussion-tagging],space_profile,"Body of knowledge: based on the AI persona service ID: 9fd04f82-b9c1-4617-bbe6-8e0ee3d0654d"
04e147ee-1682-4712-b1bc-38a09478b3d4,a1c96579-33a0-4fb3-bdb2-a96ee40acfa3,"2024-07-01 07:14:19.686162","2024-07-01 07:14:19.686162",1,"AI Persona for virtual contributor dominaciq",2e98c811-f7fb-43ef-85c4-f2d8aeff9712,discussion-tagging,space_profile_and_contents,
067b5fd0-4464-41c2-af9a-55bb98661d8f,2419c98a-4cc1-40e7-a3cb-bae412e72d9e,"2024-07-01 08:55:27.229203","2024-07-01 08:55:27.229203",1,"AI Persona for virtual contributor vcbtest2",d3640049-4fa0-47e3-bad1-d875b6d8cf48,discussion-tagging,space_profile_and_contents,
0ad6f32a-530d-445c-b2a1-0e82af1eaa73,1e97676f-88a2-4bdb-9dc2-29e26960e446,"2024-08-12 13:18:37.199203","2024-08-12 13:18:37.199203",1,"AI Persona for virtual contributor 777",cd2c948e-3734-4ee5-9c98-1ad55b4dafe8,discussion-tagging,space_profile_and_contents,
0b6149a2-e92f-48c3-a140-1b6914a23130,72ce16ab-7818-4a4d-a57e-fbe15aea98a0,"2024-08-13 14:27:56.627437","2024-08-13 14:27:56.627437",1,"AI Persona for virtual contributor 4rth",9df61557-5c78-4e36-974b-4629cb1f35a2,discussion-tagging,space_profile_and_contents,
0d162141-bffa-434f-8072-ae2397a6614d,2bf19028-84db-43e5-b96e-ca46cfaad093,"2024-07-01 09:26:12.205834","2024-07-01 09:26:12.205834",1,"AI Persona for virtual contributor test-vc-002",c9944d15-e94f-4371-9409-b9ea435616c1,discussion-tagging,space_profile_and_contents,
0d624a93-982c-46df-9f7f-523a598dad3e,29302603-9b48-49e2-92be-80e7cfbff9f7,"2024-07-18 12:33:12.495102","2024-07-18 12:33:12.495102",1,"AI Persona for virtual contributor jul18-2024",0cae1aa9-c38a-47fe-8c12-880e15bdd8df,discussion-tagging,space_profile_and_contents,
0f99c9e9-bcac-4fe1-beef-ff1b5b6375bc,92269fdf-63c8-48a9-9f57-d6a2e8735eaa,"2024-06-24 14:32:12.562306","2024-06-28 11:08:55.735711",1,,48b037e6-28a4-4ee3-a11f-c171b100b00c,[discussion-tagging],space_profile,"Body of knowledge: based on the AI persona service ID: 92269fdf-63c8-48a9-9f57-d6a2e8735eaa"
10737769-cbcb-47df-8a47-d202cce59886,84b96ade-f780-4d43-be43-ec98eea7933c,"2024-08-12 07:16:57.989592","2024-08-12 07:16:57.989592",1,"AI Persona for virtual contributor 555",9c92b66a-5a9c-4997-94fa-14ea6ebef880,discussion-tagging,space_profile_and_contents,
10ee84d3-da82-4777-8149-7f53737c3894,7f488ee4-13a3-4a6e-8f96-e5826a74e6a8,"2024-07-01 12:34:20.636664","2024-07-01 12:34:20.636664",1,"AI Persona for virtual contributor vc-test-create-flow-002",a3f2a4d9-8543-4f36-90e7-8c5085d690f5,discussion-tagging,space_profile_and_contents,
113ce774-7c2b-46de-b071-0f1e08a4a775,5306ce84-1810-4bc7-934c-db81679dcb46,"2024-07-01 10:47:22.929817","2024-07-01 10:47:22.929817",1,"AI Persona for virtual contributor vccreationflowleadtes",ec866c7a-ad07-443b-afd9-001b10a84ef9,discussion-tagging,space_profile_and_contents,
121ae91b-e387-4394-bd82-5639e10e72c5,6687357a-0694-445f-8aca-d63023bb8e0f,"2024-06-25 11:05:34.500424","2024-06-28 11:08:55.768889",1,"AI Persona for virtual contributor j25-3-publicnotinlibra",b8b2f72e-674c-42f1-b728-ce3eb7116e76,discussion-tagging,space_profile_and_contents,"Body of knowledge: based on the AI persona service ID: 6687357a-0694-445f-8aca-d63023bb8e0f"
126a2d20-ef6b-457b-be4e-ba16cb6e453c,2fb7dfb2-c0cb-45fa-b67b-9ef7250baf4c,"2024-07-01 07:48:35.144107","2024-07-01 07:48:35.144107",1,"AI Persona for virtual contributor vcrole",f90274ba-fe72-4258-80c0-2fed18874f03,discussion-tagging,space_profile_and_contents,
159e5b3e-43cc-4db6-a24f-053cefec7c6e,fd531874-0ef7-494d-8a91-6a6cbdc0c88d,"2024-08-12 07:27:40.448942","2024-08-12 07:27:40.448942",1,"AI Persona for virtual contributor test-vc-flow-004",c0837b55-a734-42e1-8978-906c6b1a83b9,discussion-tagging,space_profile_and_contents,
188bcc5f-25d6-4ca5-a37d-5a69cfd60021,5a171b59-2134-446f-bcd3-b52e2cde6ca2,"2024-07-19 10:27:42.622211","2024-07-19 10:27:42.622211",1,"AI Persona for virtual contributor 523454245",ec178dd9-e0ea-4e04-9476-030e896face9,discussion-tagging,space_profile_and_contents,
19777f87-4ab6-4775-9ddd-3a9c9da17b6a,d382eb2f-f0cb-4af6-8ebc-6064ebcfa2c6,"2024-08-12 07:14:51.696496","2024-08-12 07:14:51.696496",1,"AI Persona for virtual contributor 233",0362896f-c5d4-4361-b672-c5a675d45abd,discussion-tagging,space_profile_and_contents,
1b46e239-c1ae-4b4a-952e-c6626af63d08,94f0567a-0e4a-477b-9fe9-0f4bbb38f607,"2024-08-12 06:50:30.498053","2024-08-12 06:50:30.498053",1,"AI Persona for virtual contributor 222",3e9f28a3-7268-4621-bd38-e4b909c181bd,discussion-tagging,space_profile_and_contents,
1c0a9ed1-c2b2-45cb-bcb8-7dc758282a5b,8030b146-f2ad-4fca-a3d6-8248dbac5a95,"2024-06-24 14:32:07.825134","2024-06-28 11:08:55.804117",1,,fb8c81b2-40f9-4c78-9f0c-c9019f592b6b,[discussion-tagging],space_profile,"Body of knowledge: based on the AI persona service ID: 8030b146-f2ad-4fca-a3d6-8248dbac5a95"
1c49bb09-0af4-4d95-9a2c-513447a47b1d,b50aefd2-7bd4-48b6-8476-49e64ba8c9be,"2024-08-20 08:35:15.277055","2024-08-20 08:35:15.277055",1,"AI Persona for virtual contributor 7557q",ce5c3a6a-7bad-42a3-9349-9fc1a83add65,discussion-tagging,space_profile_and_contents,
1f7e3d24-57eb-4ab5-aee6-590650036b66,bbfbca7f-5e3c-4b4a-ba13-115d0e20f054,"2024-06-28 11:48:30.260245","2024-06-28 11:48:30.260245",1,"AI Persona for virtual contributor denisevc",12594b27-4d66-4a2d-863a-3f48f9cf0a14,discussion-tagging,space_profile_and_contents,
22c550b6-13f1-47af-8c9d-5e4b1162e7e9,347e89f7-7718-4cd1-bce3-14215158534d,"2024-06-25 11:06:57.299739","2024-06-28 11:08:55.832820",1,"AI Persona for virtual contributor j25-5-hidden",c36f9f8a-95a9-4799-b9b0-c6671f0eaf0a,discussion-tagging,space_profile_and_contents,"Body of knowledge: based on the AI persona service ID: 347e89f7-7718-4cd1-bce3-14215158534d"
24f3273e-f81a-4e19-a10c-a5e4d6715954,d7ade3db-5c0d-4a59-97b1-cd0068214fbb,"2024-06-28 11:55:01.927932","2024-06-28 11:55:01.927932",1,"AI Persona for virtual contributor campaign-manager",e3c6fc29-de37-427d-8d98-97c83ac1cc6e,discussion-tagging,space_profile_and_contents,
26758b86-71d5-4df5-bc64-686b8ea30ae2,66cfb263-8682-40e1-be0d-11631bea38bf,"2024-07-01 10:36:31.014104","2024-07-01 10:36:31.014104",1,"AI Persona for virtual contributor vc-test-create-flow",f8e430cf-249b-478f-b132-b65ea963de67,discussion-tagging,space_profile_and_contents,
