id,createdDate,updatedDate,version,engine,dataAccessMode,prompt,bodyOfKnowledgeType,bodyOfKnowledgeID,authorizationId,aiServerId,bodyOfKnowledgeLastUpdated
04a5ee36-0566-4208-8e82-9715d7b54522,"2024-06-24 14:32:06.230991","2024-09-11 08:57:33.350508",1,expert,space_profile,"VC1 prompt
",alkemio-space,49198bad-a653-4026-b726-ad4e80831031,e5e858ef-4a5b-46b5-b2b3-c58a8cbe787a,77d23868-f9b9-40f7-a734-f77434e8c1fa,"2024-09-11 08:57:33"
0515a4ed-0f28-4976-93d1-659e74552581,"2024-06-24 14:32:09.312443","2024-09-11 08:57:33.350508",1,guidance,space_profile,"Alkemio Guidance - respond in ENglish.
",none,NULL,d05085d5-c8a6-4c8f-8054-bebf789bffb3,77d23868-f9b9-40f7-a734-f77434e8c1fa,"2024-09-11 08:57:33"
07c99208-1b44-49ca-ad96-9eaaa37c9033,"2024-06-24 14:32:08.984712","2024-09-11 08:57:33.350508",1,expert,space_profile,"VC1 prompt
",alkemio-space,d0684d50-edb8-4372-b585-2adb4c2a1428,404ddff2-8b9c-4871-9823-e2665932d30b,77d23868-f9b9-40f7-a734-f77434e8c1fa,"2024-09-11 08:57:33"
0abb69ab-bdc5-403e-9bd1-e7272c724a4e,"2024-06-28 11:42:32.677229","2024-09-11 08:57:33.350508",2,expert,space_profile,,alkemio-space,5ae4763c-eabd-43d7-be88-ac283d111583,93e009a3-5b2b-4d21-be81-e18f45e739e5,77d23868-f9b9-40f7-a734-f77434e8c1fa,"2024-09-11 08:57:33"
0bec7650-2be0-4027-8d1d-0338134ba229,"2024-08-14 08:42:32.532360","2024-09-11 08:57:33.350508",2,expert,space_profile,,alkemio-space,6378d4b3-7cd3-474f-863a-62f5e7983bd6,2d78a0d5-f939-4cf9-97be-4822dd707b79,77d23868-f9b9-40f7-a734-f77434e8c1fa,"2024-09-11 08:57:33"
0c763b71-2aab-4146-8215-74dc539b0dc7,"2024-08-12 13:21:59.766739","2024-09-11 08:57:33.350508",2,expert,space_profile,,alkemio-space,2c1f0ad9-36a4-435c-a572-5bab32c55c33,eff4d943-e835-4d60-b365-6dd8cecb7971,77d23868-f9b9-40f7-a734-f77434e8c1fa,"2024-09-11 08:57:33"
0f3e0ac7-bc85-4dfe-9f23-ff202429c248,"2024-08-09 10:41:26.670461","2024-09-11 08:57:33.350508",2,expert,space_profile,,alkemio-space,8bcfc764-dd98-431e-9f38-32a17a5cb877,69a2b395-2a62-4c4f-848b-7b2a871b6619,77d23868-f9b9-40f7-a734-f77434e8c1fa,"2024-09-11 08:57:33"
0fceb622-8818-45bd-8b9c-5e9836633097,"2024-08-12 07:12:11.801068","2024-09-11 08:57:33.350508",2,expert,space_profile,,alkemio-space,3b1a3825-b59a-4e38-83ac-4b46341c880d,796971f4-710b-4b3a-a102-d79475606d9d,77d23868-f9b9-40f7-a734-f77434e8c1fa,"2024-09-11 08:57:33"
10b3b694-f63b-483a-aef5-64d6bdd6f931,"2024-06-25 13:30:36.924231","2024-09-11 08:57:33.350508",2,expert,space_profile,,alkemio-space,9eda1b8d-60de-4466-8ebd-71194250e25f,f5fa3ef6-bd17-4114-a7d9-63f93baa8729,77d23868-f9b9-40f7-a734-f77434e8c1fa,"2024-09-11 08:57:33"
1182f48c-9d18-404f-951c-59c7932248f0,"2024-06-26 13:05:55.796115","2024-09-11 08:57:33.350508",2,expert,space_profile,,alkemio-space,7f616cd1-71f1-41ca-b3f0-57d9c247522f,82f0e2fd-3e88-41f7-86c1-f71fc187e48e,77d23868-f9b9-40f7-a734-f77434e8c1fa,"2024-09-11 08:57:33"
