id,createdDate,updatedDate,version,resourceID,type,agentId,issuer,expires
00b2cbe7-77b8-4ce0-a626-b7b3a5907002,"2023-07-11 11:07:27.651238","2023-07-11 11:07:27.000000",2,,global-registered,91d1a356-e09b-4096-95aa-c75c5da70c68,NULL,NULL
012f6edb-6ec0-42df-ae41-3ea611c80357,"2024-05-28 10:03:02.504393","2024-05-28 10:03:02.504000",1,,global-registered,d1088f06-5bb1-4ab8-9266-052cf58ab97a,NULL,NULL
0147a75e-eac1-4fc7-a2eb-b33ab6f6b2fd,"2023-09-07 10:17:17.347497","2023-09-07 10:17:17.000000",2,,global-registered,f83954d2-b8f1-4115-8dbe-5cf35836dc62,NULL,NULL
018f2257-84c4-4138-b075-879a5d2563d7,"2024-03-28 14:14:15.565438","2024-03-28 14:14:15.565000",1,,global-registered,e017ad37-93fa-4766-a779-2720c1ef0ef7,NULL,NULL
01f11574-c232-45a9-b619-64b497feb1bb,"2023-11-22 08:30:56.673496","2023-11-22 08:30:56.000000",2,,beta-tester,4b7654f5-1496-4624-85ef-7e6a0547e6f3,NULL,NULL
0766b7a2-03b2-44eb-8b5f-a66221725d2d,"2024-03-28 14:14:17.351580","2024-03-28 14:14:17.351000",1,,global-registered,156c4e63-ffc8-4380-bc59-f5597064b5db,NULL,NULL
08b5299b-4efe-47a3-a565-017ac1a71165,"2023-06-21 11:13:05.859123","2023-06-21 11:13:05.000000",2,,global-registered,0a03bf39-c1fe-491f-b31e-259f87270123,NULL,NULL
09b86ae3-67d6-4d5d-ac43-8c70f8f70aaa,"2024-07-25 12:20:45.976915","2024-07-25 12:20:46.000000",2,,global-admin,d204c3cc-d1e3-4d10-9807-74d76791768a,NULL,NULL
0b0cf647-ffde-4e7e-a2ba-0138c0eb5ca2,"2024-08-14 08:41:38.708371","2024-08-14 08:41:38.708000",1,,vc-campaign,791e28c2-eea0-4111-b658-452170218681,NULL,NULL
0b1d3a3d-c6c0-480c-809d-89a3f4bfa19a,"2024-05-17 10:03:58.004046","2024-05-17 10:03:58.000000",2,,global-support,6f686571-4c4c-4368-818f-1a119cd55c92,NULL,NULL
0b44f29b-7907-418a-bbd1-f8259af5f3ec,"2024-06-04 08:34:33.425537","2024-06-04 08:34:33.425000",1,,global-registered,a43194a5-2694-47ec-9fe0-0ab77c7ecc3d,NULL,NULL
0b8c2b49-cd8c-4957-9ed0-193830b05c46,"2024-06-06 08:32:33.203073","2024-06-06 08:32:33.203000",1,,global-registered,bc731907-a54d-482a-a38f-444df9bba726,NULL,NULL
0ba06ce3-22c0-407d-b557-106b45a73ccc,"2024-08-29 07:24:28.468957","2024-08-29 07:24:28.000000",2,,beta-tester,5618654a-2222-4cf7-b0fd-273bca75328e,NULL,NULL
0bb6f168-57e8-4e09-81ea-b7eba25f1ac5,"2024-08-12 07:05:44.898112","2024-08-12 07:05:44.898000",1,,global-registered,3a728172-ce1b-4f82-b4f2-2ff6f66b1355,NULL,NULL
0bce4025-0e0a-4453-a6ba-dad747cb8c96,"2023-08-22 10:06:03.041359","2023-08-22 10:06:03.000000",2,,global-registered,1a16299e-3221-46a6-b644-07800ac75633,NULL,NULL
0c364d6f-ce01-44aa-8cb6-143bcbf6ad11,"2023-01-12 11:42:19.678805","2024-05-15 14:56:39.741445",2,,global-support,b617087c-8504-4edb-812b-709a673e3471,NULL,NULL
0c56ded3-e17c-4951-b645-7cd90bb30d60,"2024-06-05 09:58:28.346962","2024-06-05 09:58:28.346000",1,,global-registered,196ff97b-b763-48f6-b7aa-2c96cf327a47,NULL,NULL
0d5b8a58-b486-4be8-948c-b58c537f856f,"2024-08-12 07:30:10.937512","2024-08-12 07:30:10.937000",1,,global-registered,5de558b9-32b6-4762-ad8d-00039509c373,NULL,NULL
0e031949-2c0d-47bf-a489-bed5eaaa6c20,"2024-07-01 08:32:08.218304","2024-07-01 08:32:08.000000",2,,vc-campaign,30e4518b-f70a-4a12-bfbc-9857bfe8fba0,NULL,NULL
0e049127-6dd2-4647-bf35-e88cbd9e599a,"2024-07-01 07:45:44.340264","2024-07-01 07:45:44.340000",1,,vc-campaign,496b6c32-4e5c-4d2c-83e9-fd138f9924af,NULL,NULL
0e71cdaf-d2c6-4ee6-86ef-491f3f59aa74,"2023-09-20 10:15:30.436469","2023-09-20 10:15:30.000000",2,,beta-tester,2eee4ede-6768-4f04-8291-ede7b98972cf,NULL,NULL
0fddc14e-da48-4d2f-8e22-c04219315150,"2024-08-23 10:51:05.851917","2024-08-23 10:51:05.000000",2,,global-support,9b4566be-c164-4128-a6bd-74dc117689af,NULL,NULL
1017ef8b-92dd-4dbe-b2b1-f97207aae2c6,"2024-06-10 13:09:13.488266","2024-06-10 13:09:13.488000",1,,beta-tester,73d59b78-3484-4109-9f20-396e6c597eb3,NULL,NULL
103acdf5-a784-4680-97c2-9c1b8380ff26,"2024-05-28 13:14:32.239109","2024-05-28 13:14:32.239000",1,,global-registered,c9bb1946-e020-4085-b587-bdfd8974a8d5,NULL,NULL
112eb485-d4e5-4a0d-bbe6-477550255249,"2023-09-20 09:16:09.624530","2023-09-20 09:16:09.000000",2,,global-registered,2eee4ede-6768-4f04-8291-ede7b98972cf,NULL,NULL
11619ee4-da7d-4927-801d-9f4da5f59ed4,"2024-07-31 09:30:25.839943","2024-07-31 09:30:25.839000",1,,global-registered,2731e4cf-b763-4866-8459-200132bc0462,NULL,NULL
1308b5b8-e7b2-45f9-9f22-cd785dc25357,"2024-05-28 05:38:23.748291","2024-05-28 05:38:23.000000",2,,beta-tester,f83954d2-b8f1-4115-8dbe-5cf35836dc62,NULL,NULL
132d4009-0127-4adb-8b32-a87e329c97f9,"2024-05-17 15:55:44.746544","2024-05-17 15:55:44.000000",2,,global-support,ee3508f2-aa12-4f5f-85a3-a41fcbe9ec70,NULL,NULL
13959faa-d5f0-4220-9516-d092866ef385,"2024-06-28 12:50:07.557118","2024-06-28 12:50:07.557000",1,,global-registered,2f35da49-be9b-43b1-b440-369f09ba2ffc,NULL,NULL
142e2567-2374-403f-9b50-1d51b5c95fff,"2023-08-04 09:25:37.549986","2023-08-04 09:25:37.000000",2,,global-registered,7624651c-f947-455c-82d7-24b280e65c92,NULL,NULL
15a39b61-e05e-4496-8c06-ae48fbb09449,"2024-07-26 09:59:46.887595","2024-07-26 09:59:46.000000",2,,beta-tester,d6c72dd7-28a7-4ad3-935c-c6f5acfe2a0c,NULL,NULL
17129b81-eed5-462f-a2c4-1c981ae81933,"2024-06-06 08:35:09.240656","2024-06-06 08:35:09.000000",2,,beta-tester,02d2bb4e-4bcd-4197-983f-32501d6d4906,NULL,NULL
