id,createdDate,updatedDate,version,templatesSetId,authorizationId,type,defaultDescription,profileId
006d5c82-9867-4a01-a82d-98b7a993b9fb,"2024-07-11 15:44:52.898991","2024-07-11 15:44:53.000000",2,04ca7a50-d890-4519-a528-57632a2d5378,44db7797-e80f-4f96-b1ff-f12b0767cdb6,"Related Initiative","👀 **Name of the related initiative**:

*Name/title*

🤝 **Description of the related initiative:**

*Description*

🗻 **Describe the relevane of the related initiative:**

*Explore how these initiatives align with this initiative*

✏️ **Additional information**

*Provide any extra information or context relevant to the initiative*
",590c517d-10d9-496d-9e9c-111fcc81cbde
00c5dcdc-2c36-4b7e-8598-d34a099d2db0,"2023-07-28 12:32:25.176050","2023-07-28 12:32:25.000000",2,f096e500-de1b-4c43-b5c4-6d2d0bce671a,9d5dba18-1146-4b2b-8e0b-3b4c8ff59ab3,"stakeholder persona","Please describe the stakeholder persona that is relevant.",86059fe5-9ee1-4500-a90d-22b26fb646bf
00e44c2d-2fc5-42f1-9f4c-df8a37045dcd,"2023-05-23 21:04:26.361584","2023-05-23 21:04:26.000000",2,c441d35f-8d3d-4a63-b18a-5ca60bbc2266,4a6b9f5f-4213-42b8-80ea-be70188fdbcb,"related initiative","Please describe the related initiative that is relevant.",4c2a3f8a-0b3a-4c8c-be1d-aff6ca488a50
0165499f-3896-4dbb-88bc-5048cd86e736,"2023-01-12 15:20:06.143092","2023-03-28 12:31:23.216561",2,49a7a54a-5ab8-466e-9c31-1493939735eb,1969c538-6fd2-4599-8d55-3932d28b5523,knowledge,"Please describe the knowledge that is relevant.",c087e472-b95c-4b48-a21d-42a6a9961966
0265cf55-628b-41c0-a5bb-1f1899b56031,"2023-12-05 12:09:30.623160","2023-12-05 12:09:31.000000",2,0f814793-aa76-447e-b143-f5693d764918,d9f47407-4da4-48f3-8b84-18ad5fd3cc1e,"related initiative","Please describe the related initiative that is relevant.",acfd3a53-98e6-4994-be1a-b6162f207f48
02c77cf6-ab48-4bc3-ac75-22108b9f6c5e,"2023-07-28 12:32:25.448594","2023-07-28 12:32:25.000000",2,f096e500-de1b-4c43-b5c4-6d2d0bce671a,7a3419db-4cb2-489a-8793-5efc846c7822,other,"Please describe the post that you wish to share.",0318684d-0a2b-4d46-a44b-1d3221dbb7fe
02cbfc08-2c9a-424a-afaa-62bd228afa8f,"2024-08-14 08:13:23.221140","2024-08-14 08:13:23.000000",2,4f02042a-6b15-44cd-b981-e22a474305be,4ef54020-ca43-4aae-9604-c02cd4ce86ab,"Community Needs 👥","💬**What is blocking this space at the moment?**

*Uncover the current challenges and obstacles that hinder progress in this space. What barriers are present, and how do they impact the community?*

📢 **Describe your call to action**:

*What steps can we take to address these challenges, and how can we overcome these obstacles?*

📚 **Type of knowledge, expertise, and resources:**

*Specify the types of knowledge, expertise, and resources needed to navigate and overcome the identified challenges*

✏️ **Additional context:**

*providing additional context*

Together, lets transform challenges into pportunities and propel this space forward! 🚀💪
",b3ce9216-9041-47c6-9432-70fb063d9540
02f9d26b-aa5e-4aef-adb7-85ff38477425,"2023-12-18 14:36:20.544208","2023-12-18 14:36:21.000000",2,ccbdbb91-d881-485b-9bdd-2b3e80dda2e3,f52304f5-10e1-4671-b6de-d221f21bf8ef,knowledge,"Please describe the knowledge that is relevant.",1b36dc26-176d-4eac-accb-86b695902262
030df025-f783-499a-848d-8679913a3b21,"2022-11-25 13:56:17.981497","2023-03-28 12:31:23.902332",2,6c6240bb-6907-4b20-a3f3-c5ca8baf244d,3658886f-1942-43c1-afd2-1d861b588f27,Check,"Check aspect templates",bb781bf3-b5ef-4d18-80a5-a053c1b98d19
0316b749-bd94-495c-89ae-245b4caff48d,"2023-09-01 08:52:07.998157","2023-09-01 08:52:08.000000",2,fa60b700-644b-47d4-b6be-884c054a5389,345d904e-976e-423f-9537-c9aaea39df8b,idea,"Please describe the idea that is relevant.",27def1bb-d0ae-4064-8232-105dc35a0f7f
031a3e97-6793-427d-9912-7166028b8c19,"2024-08-29 08:41:38.661887","2024-08-29 08:41:39.000000",2,0bde3e14-ef85-4e28-9c87-789499f465eb,c7f92696-df6b-49ef-8bb5-43856edb9794,"Community Needs 👥","💬**What is blocking this space at the moment?**

*Uncover the current challenges and obstacles that hinder progress in this space. What barriers are present, and how do they impact the community?*

📢 **Describe your call to action**:

*What steps can we take to address these challenges, and how can we overcome these obstacles?*

📚 **Type of knowledge, expertise, and resources:**

*Specify the types of knowledge, expertise, and resources needed to navigate and overcome the identified challenges*

✏️ **Additional context:**

*providing additional context*

Together, lets transform challenges into pportunities and propel this space forward! 🚀💪
",3abb94b7-2572-46cb-bdcf-29307284734d
034df100-3d72-4536-80af-91075bf2cfd0,"2024-08-12 07:34:53.740915","2024-08-12 07:34:54.000000",2,9b336394-d5f9-4bab-ad2d-705f1c51d750,a2d04a0a-099f-4f64-982d-5f5eb3f5cbe4,"Related Initiative","👀 **Name of the related initiative**:

*Name/title*

🤝 **Description of the related initiative:**

*Description*

🗻 **Describe the relevane of the related initiative:**

*Explore how these initiatives align with this initiative*

✏️ **Additional information**

*Provide any extra information or context relevant to the initiative*
",a7df9532-fc80-400b-9ece-4234044d949c
03e92177-3396-442c-8487-ffdfb9281128,"2023-09-28 17:46:40.667795","2023-09-28 17:46:40.000000",2,323b473c-dd55-4876-b56d-aed455c0551b,1e9be88f-3976-4d26-88c4-41f73a3e1fd9,"Post template28-09-2023","Post template28-09-2023
",dc2036f5-c6e1-4cd3-8425-853904c9ab0b
0417f352-24d7-41ab-b149-8aadc381e778,"2023-06-27 12:16:00.121972","2023-06-27 12:16:00.000000",2,5f4a4f09-9394-410f-939f-9b22543daffd,8ff3fd4c-ae1f-4c87-937a-7733386c1250,idea,"Please describe the idea that is relevant.",78094cef-e4a0-4665-80b2-6862a0414f77
0493e0b2-36a6-43a0-857a-32cfe45db59e,"2023-08-16 12:03:44.861620","2023-08-16 12:03:45.000000",2,4844fe79-7a6e-45e7-9d12-257e9b511218,87667542-60d8-4dc8-99ac-49a97bd740ed,"stakeholder persona","Please describe the stakeholder persona that is relevant.",40bf537c-198f-42c6-b2a1-0ce33d744c18
04c1e7e3-e34d-4e53-856b-2003de1c2609,"2024-02-09 12:47:20.824261","2024-02-09 12:47:21.000000",2,ebd458b7-bc56-4538-9319-96690f1a1a6c,0f6e1ce4-cded-43c6-bef6-37220e15773f,idea,"Please describe the idea that is relevant.",5d1c4fb7-50fc-45ca-b02c-7af84021bb0c
04ed82a3-75c5-4ee5-af6b-99aeeaf0e4bb,"2023-06-15 08:35:23.613978","2023-06-15 08:35:23.000000",2,1cdd2675-d7c4-4a51-a707-56216d9648a6,4c822e6f-07a9-42d3-9006-893e63f24e42,"related initiative","Please describe the related initiative that is relevant.",c7826bd1-228e-4ff2-9a90-bb82c2101ad1
050b9320-bf31-4d2c-80fc-dbee6d519589,"2024-03-12 12:33:52.769907","2024-03-12 12:33:53.000000",2,eb0d9faa-b230-41e9-b589-76a0ddf36ead,5503ab2b-f116-45ee-a8ff-566559b30fd4,"stakeholder persona","Please describe the stakeholder persona that is relevant.",fdae5185-e087-4511-a3ee-7d33eb0faf7d
054c9343-8a18-41ff-a414-ae65644f449a,"2024-07-05 14:04:45.789226","2024-07-05 14:04:47.000000",2,ca0b0128-decb-412e-9088-c97b1f2d5574,50495944-cfc9-473e-88f1-f7b9862d0d54,"Meeting Notes","## 💭 Your meeting insights

📅 **Date:**

*Lets note the date of your interaction for context.*

👥 **Present:**

*Mention who attended or participated in the community activity.*

📝 **Notes:**

*Capture your observations or key takeaways from the community interaction.*

🔁 **Next steps:**

*Describe the specific actions or initiatives you plan to take based on the insights gained during the community interaction, propelling the community forward!*
",d00c99e0-c9b1-4962-a820-a36d9f645828
05fe1d5d-bb3d-41a4-b47a-eb5a1f187f03,"2024-07-01 09:21:47.532704","2024-07-01 09:21:48.000000",2,14f72fd8-8af1-465c-865b-ef10d242d05d,1f6db8fd-8470-4022-9bf2-a807869c5ce8,"Meeting Notes","## 💭 Your meeting insights

📅 **Date:**

*Lets note the date of your interaction for context.*

👥 **Present:**

*Mention who attended or participated in the community activity.*

📝 **Notes:**

*Capture your observations or key takeaways from the community interaction.*

🔁 **Next steps:**

*Describe the specific actions or initiatives you plan to take based on the insights gained during the community interaction, propelling the community forward!*
",2962e2dc-52c3-45e3-8ec3-bfb99c0b41e4
05fe7127-de9a-4932-8f93-701894183645,"2024-02-01 12:19:14.771021","2024-02-01 12:19:15.000000",2,078bd0ff-d832-4525-9419-8c1986cb5912,3bcd1a5c-5dca-4cde-a20c-59d524159975,idea,"Please describe the idea that is relevant.",c277189e-98e3-41f0-9c27-ef0ff4ce452a
06118200-a433-4210-bc2c-91de6516109a,"2023-03-31 13:47:56.268985","2023-03-31 13:47:56.000000",2,ada7a98c-fcbc-4d33-839f-b353a713d718,84dd17fa-83b8-4afd-8f82-dfc7697dd7e9,"stakeholder persona","Please describe the stakeholder persona that is relevant.",c51e1295-2209-4acf-af71-27d2c4bc5382
06464e32-1772-4c97-83fa-2c61edbd8609,"2023-01-12 17:49:11.998064","2023-03-28 12:31:17.456609",2,0c549a1e-7fbc-4a7f-95f5-7fd8e4262cce,46149004-27fe-4917-b2b0-6c6202835411,other,"Please describe the aspect that you wish to share.",b53491b6-db56-4273-aaa2-b673bad7c070
06b25636-c071-4134-bb03-14c0290b0cf7,"2024-08-28 19:52:58.845076","2024-08-28 19:52:59.000000",2,8bce101d-951f-405f-b592-e0735efd989d,ea6153cf-d998-4301-bdc5-db6677d07214,"Related Initiative","👀 **Name of the related initiative**:

*Name/title*

🤝 **Description of the related initiative:**

*Description*

🗻 **Describe the relevane of the related initiative:**

*Explore how these initiatives align with this initiative*

✏️ **Additional information**

*Provide any extra information or context relevant to the initiative*
",30f8a772-5093-41f9-8d48-eb6ee2989db7
06f51e53-dc1d-42a6-a79f-b0302b4a9595,"2024-08-28 11:33:01.130049","2024-08-28 11:33:01.000000",2,3381de1a-9555-4366-ab7a-0da6c34c876f,55bd06aa-0232-43af-bbed-ed33f0e1f004,"Related Initiative","👀 **Name of the related initiative**:

*Name/title*

🤝 **Description of the related initiative:**

*Description*

🗻 **Describe the relevane of the related initiative:**

*Explore how these initiatives align with this initiative*

✏️ **Additional information**

*Provide any extra information or context relevant to the initiative*
",9d06a35c-6c3a-4aa9-b4ec-0d8ac777bd71
06f568ba-0044-4037-a1ca-f35d475274e2,"2022-11-25 10:06:47.676879","2023-03-28 12:31:21.736859",2,6c6240bb-6907-4b20-a3f3-c5ca8baf244d,34191686-a9ac-4487-a977-603baf98eb52,"Card  hub-release-25-11-2022","Card  hub-release-25-11-2022",fb0f7671-964e-455c-9227-8035f315fef4
07030b17-7b8c-4ce1-b6a2-d0dd0dd8c4b5,"2023-07-19 11:26:36.264535","2023-07-19 11:26:36.000000",2,1e9f8a49-daa4-4634-b664-24735c5e7f91,f781051e-b6dc-44fb-b1aa-ad42c3721cf2,"stakeholder persona","Please describe the stakeholder persona that is relevant.",6c448fab-a284-4503-8a39-e103a057f182
0752c2e8-b874-4d4c-9639-b8933865a3a4,"2023-02-16 14:25:15.984835","2023-03-28 12:31:15.454997",2,f3d5d3a0-5ac7-4597-aa04-75d84a17f5d0,8fb62625-f934-4dea-a3c4-6cbfab1fa8c0,knowledge,"Please describe the knowledge that is relevant.",bc921c0a-fc7e-452e-8209-3b240bfbdc68
0761812c-3935-4a73-a096-f0a031f52c03,"2024-05-28 13:17:41.986544","2024-05-28 13:17:42.000000",2,544f0e98-40fb-4e55-8770-f834b9729333,d2b88c61-9ad7-44a7-9db1-51cde23751f4,"Related Initiative","👀 **Name of the related initiative**:

*Name/title*

🤝 **Description of the related initiative:**

*Description*

🗻 **Describe the relevane of the related initiative:**

*Explore how these initiatives align with this initiative*

✏️ **Additional information**

*Provide any extra information or context relevant to the initiative*
",12b70a98-4331-4402-86b3-00c9cdcbdb95
07692dc3-76a1-4c19-925e-aca6a279e97a,"2023-04-27 10:48:16.336708","2023-04-27 10:48:16.000000",2,36cf08c9-437d-47ff-ba16-bb3546f1b0ad,9d530fdb-e272-4533-a0d1-6eedae1aa3dd,other,"Please describe the post that you wish to share.",298686af-17ac-4992-823c-68d3bdf458f5
076c43d8-3ef2-4dec-bb1b-78b9a99c7a74,"2023-08-04 09:34:44.960015","2023-08-04 09:34:45.000000",2,16f4580c-5ff9-46a6-b15a-7620a39768a1,6acc467d-b113-4ae1-93cb-217195992ef2,"stakeholder persona","Please describe the stakeholder persona that is relevant.",9bf6ddef-e115-4f93-9087-55190f217eed
077e7d40-b6d2-4713-8086-2de7af84e611,"2024-06-04 13:54:40.244814","2024-06-04 13:54:40.000000",2,bb847751-fcd5-47fe-a732-7c6c4e5305b6,ae053821-97c0-44d2-b895-e99d2d6b9a78,"Community Needs 👥","💬**What is blocking this space at the moment?**

*Uncover the current challenges and obstacles that hinder progress in this space. What barriers are present, and how do they impact the community?*

📢 **Describe your call to action**:

*What steps can we take to address these challenges, and how can we overcome these obstacles?*

📚 **Type of knowledge, expertise, and resources:**

*Specify the types of knowledge, expertise, and resources needed to navigate and overcome the identified challenges*

✏️ **Additional context:**

*providing additional context*

Together, lets transform challenges into pportunities and propel this space forward! 🚀💪
",b162a484-2938-4e92-b30a-409703cffda6
07f6f1b4-b21d-4af0-b998-fdb74a1ee53a,"2023-11-22 09:22:53.257143","2023-11-22 09:22:53.000000",2,3b80e9dc-fe60-4cb3-87f9-61292562ec98,0d2a1836-0c33-4df8-bc92-f62b2a08cd94,"related initiative","Please describe the related initiative that is relevant.",332ad709-e22e-4e42-a70e-794fcddb888a
0808c7a0-0906-432b-b084-4d9ef9935030,"2022-11-25 14:23:52.256152","2023-03-28 12:31:16.560385",2,5a15e464-1a25-497b-aeb4-b22fe83655e6,e21a8c64-aa3c-4394-ad78-d88aa5863d50,knowledge,"Please describe the knowledge that is relevant.",7aa6ca3b-fc97-4a06-af4d-6fabd91f352d
086a5d83-a15a-499b-a09f-e6c9a6d912df,"2023-10-11 11:06:16.637032","2023-10-11 11:06:16.000000",2,c94f82ec-b6eb-4e6a-97b6-a5c71f6dc1ff,1085a1aa-d524-43cd-9094-a5bbe637989a,idea,"Please describe the idea that is relevant.",b25550d9-6cc0-4c42-8db8-db0241d7dea8
0914f155-d0c4-496c-9ffb-dda16eb89532,"2023-09-08 13:30:01.123612","2023-09-08 13:30:01.000000",2,ff653686-a34a-49f1-82ca-84b731956ba2,fc5cf5b5-26cf-4044-aa00-f432a168f571,"related initiative","Please describe the related initiative that is relevant.",382f1de0-c890-40b4-bbb9-c5cafbea16a8
094c83cc-6a2c-4653-8a6b-c4777c398ea1,"2024-05-09 09:21:59.413437","2024-05-09 09:22:00.000000",2,20b6aab8-2338-4fd3-9459-85830670a412,610b3fdb-758a-48de-b53e-be6df411ba17,"Related Initiative","👀 **Name of the related initiative**:

*Name/title*

🤝 **Description of the related initiative:**

*Description*

🗻 **Describe the relevane of the related initiative:**

*Explore how these initiatives align with this initiative*

✏️ **Additional information**

*Provide any extra information or context relevant to the initiative*
",c0c18aef-24c6-4c3c-8147-04e62d493d15
09558ed2-80b3-4aad-bcec-d09852b3c15a,"2022-07-11 14:53:04.930440","2023-03-28 12:31:18.124948",2,c628500e-1736-4ade-8b50-7ed447ca18f1,b3e07992-ab4e-4360-96ca-3ac33ff21ac7,"stakeholder persona","Please describe the stakeholder persona that is relevant.",e7a99eaa-364c-47e7-a505-fa5f483dc084
0a991f07-228e-4644-9dd0-81dc7b33ae73,"2023-07-28 12:32:25.263899","2023-07-28 12:32:25.000000",2,f096e500-de1b-4c43-b5c4-6d2d0bce671a,75f4b7b8-c810-4bc8-a658-023674f57c36,"related initiative","Please describe the related initiative that is relevant.",afcac2d2-5caf-4c2d-8970-9d7813d393c0
0ae31e28-6f2e-4729-bd08-1e17522d6bc6,"2024-08-07 09:23:22.362670","2024-08-07 09:23:23.000000",2,d2b60fd9-13ea-4270-89aa-93eb7b40dfc5,1351cdd9-5169-4907-820f-05e23e9f05b7,"Related Initiative","👀 **Name of the related initiative**:

*Name/title*

🤝 **Description of the related initiative:**

*Description*

🗻 **Describe the relevane of the related initiative:**

*Explore how these initiatives align with this initiative*

✏️ **Additional information**

*Provide any extra information or context relevant to the initiative*
",937c5e30-3cc4-42f8-ba78-5ff4e1b48363
