id,createdDate,updatedDate,version,name,uri,description,authorizationId,profileId
00336cd3-dbfb-4ea5-bfd6-ae3d4f6907b1,"2023-05-10 08:16:50.320810","2023-11-22 16:54:32.341335",5,test,https://acc-alkem.io/api/private/rest/storage/document/419de3d2-d940-489d-aa37-48e568b26742,,edeeaa77-05f2-4a67-b32c-a5c9f25e6c21,c79c4366-7918-42ca-93a6-8b7a52cf90e8
00f2d562-4da0-4443-995c-e36f86e9d3c9,"2023-06-21 14:16:51.446630","2023-06-21 14:16:51.000000",2,linkedin,,"User profile on LinkedIn",6bd0b465-12c8-4916-86b0-1d02983a37d5,04aaa0c8-7d8c-4434-85a3-a1f20fd449fc
00fc5262-163e-40d9-bb85-fcc0ed39df4a,"2023-12-05 13:33:38.694498","2023-12-05 13:33:38.000000",2,github,,"User profile on GitSpace",978ac5b5-fc95-45cd-9bb3-5c7c47460861,96248cdf-3341-4231-bb97-13150d37036a
010d156f-711e-4e56-b1d7-38f5fd9b687e,"2024-06-05 09:35:14.949021","2024-06-05 09:35:15.000000",2,github,,"User profile on GitSpace",3d86e0cb-9ee4-48e0-9e80-081e2bc51e0c,f5aff9bb-56ec-4bd7-879b-09475fe4d3ec
0111344c-1e33-44ac-950b-b90e8e470488,"2022-10-11 13:34:44.416496","2023-03-21 12:48:48.931977",3,"opportunity-release-11-10-2022 reference",https://test.com,opportunity-release-11-10-2022,fff9189a-b741-4eae-823c-57965c2a456d,63ebaed6-c173-4eff-9967-45482963635a
017ac68c-e242-41cf-9225-9d4d78bbcc2d,"2023-03-21 14:57:29.671115","2023-03-21 15:00:10.000000",3,"My Website",https://www.simonezaza.nl,"Here you can read all about me and my work, you'll be able to see my portfolio, the workshops and sessions I host, and how to make this description longer? I don't know.",58bccdff-c250-41ed-a800-ab1e3f1519e6,531ccc53-d049-482c-b0e8-1a63b43e1788
019ed704-d1fd-4dc9-9e32-93b5f81f26d2,"2022-07-11 14:53:14.446777","2022-07-11 14:53:19.000000",2,linkedin,,"User profile on LinkedIn",521fc8d7-39a2-4c05-9b0b-e84d74d2391c,dc85ac58-918b-4ad3-9f05-f55d1a2e84ce
01b3edc8-4e9b-4e93-af62-5a15bc9b970a,"2023-01-26 12:14:49.271674","2023-11-22 16:54:32.341335",4,"New reference",https://acc-alkem.io/api/private/rest/storage/document/d89aae8f-ff1c-465e-8b99-be5ba7cb780d,test,52e6caa1-405d-42bc-9812-68f48285d279,e9428d2e-1e3f-4dfa-969c-504e6e2366b0
020266a6-cdce-4a3a-b079-f34cf5cbf79f,"2023-02-16 14:23:19.089494","2023-11-22 16:54:32.341335",4,"New reference",https://acc-alkem.io/api/private/rest/storage/document/7027d3af-fbc1-4b2e-bd6b-24dd5008521f,,c2cbccf1-6ec2-4f01-9c4d-e46b6b89258b,268fc4a7-ed4a-4c66-9a25-8302d08decc0
023ce713-1df8-48aa-9835-31614c7d47db,"2024-08-09 08:48:12.479683","2024-08-09 08:48:12.479683",1,linkedin,,"User profile on LinkedIn",dc476876-8c65-42fe-9b83-79c0394bb4fd,d4626ef2-1179-472a-96f8-7808fb187ee7
025dca45-b06b-4eb2-aaba-19b554399664,"2023-02-21 13:57:26.631532","2023-02-21 13:57:47.000000",3,"test link",https://test.com,,6656c1f2-acda-4f4d-88de-e6d4dae31676,7934856d-7605-4e0f-a270-0c2ca952a5f0
028e0ffe-f21d-4ef9-96bb-c4fe0a8d41f2,"2024-05-28 13:02:17.722394","2024-05-28 13:02:17.000000",2,twitter,,"User profile on Twitter",0d5e639d-8332-4fb9-982a-4e42842e9b2f,21e4cbdd-3963-476c-b937-489da9d0af8d
02fae482-b693-4e45-b8f2-1a0dc2620afb,"2023-07-28 14:18:12.522090","2023-07-28 14:18:12.000000",2,linkedin,,"User profile on LinkedIn",280cab09-61db-49e3-b295-bb1bd2c3e20b,97d81bd2-fbc3-48db-ab46-69f574b7e79e
039b5473-37b6-47d9-86b8-eb00664dc406,"2023-09-28 06:32:12.868858","2023-11-22 16:54:32.341335",4,"New reference (3)",https://acc-alkem.io/api/private/rest/storage/document/0d7ced53-374b-4d13-a42b-ebd286674b02,333,9d251597-c83e-4e7d-9577-7f44381c689a,101b86ca-8ae0-4507-9743-39a5bf7b93b5
